COUNTRY,SEX,YEAR,ACTIVITY_VAL,AGE,OBESITY_VAL
ARM,MALE,2009,34.3,11,17.1686746987952
ARM,FEMALE,2009,20.6,11,12.6582278481013
AUT,MALE,2009,40.0,11,15.2777777777778
AUT,FEMALE,2009,29.6,11,11.2443778110945
AUT,MALE,2005,29.0,11,14.0
AUT,FEMALE,2005,23.0,11,9.0
BE-VLG,MALE,2009,25.4,11,10.0443131462334
BE-VLG,FEMALE,2009,14.6,11,10.1010101010101
BE-VLG,MALE,2005,20.0,11,8.0
BE-VLG,FEMALE,2005,15.0,11,8.0
BE-WAL,MALE,2009,29.7,11,11.1111111111111
BE-WAL,FEMALE,2009,17.6,11,11.1650485436893
BE-WAL,MALE,2005,31.0,11,10.0
BE-WAL,FEMALE,2005,23.0,11,10.0
BGR,MALE,2005,39.0,11,20.0
BGR,FEMALE,2005,26.0,11,10.0
HRV,MALE,2009,31.1,11,20.7302709069494
HRV,FEMALE,2009,19.1,11,14.7982062780269
HRV,MALE,2005,36.0,11,20.0
HRV,FEMALE,2005,26.0,11,14.0
CZE,MALE,2009,28.0,11,20.6647398843931
CZE,FEMALE,2009,23.3,11,11.5727002967359
CZE,MALE,2005,25.0,11,21.0
CZE,FEMALE,2005,19.0,11,18.0
DNK,MALE,2009,16.4,11,10.82910321489
DNK,FEMALE,2009,10.2,11,8.9644513137558
DNK,MALE,2005,31.0,11,9.0
DNK,FEMALE,2005,26.0,11,11.0
EST,MALE,2009,18.9,11,18.7110187110187
EST,FEMALE,2009,16.4,11,13.1313131313131
EST,MALE,2005,24.0,11,13.0
EST,FEMALE,2005,21.0,11,9.0
FIN,MALE,2009,38.2,11,18.890977443609
FIN,FEMALE,2009,24.6,11,12.855910267472
FIN,MALE,2005,48.0,11,20.0
FIN,FEMALE,2005,37.0,11,16.0
FRA,MALE,2009,21.4,11,11.6571428571429
FRA,FEMALE,2009,9.1,11,7.66467065868263
FRA,MALE,2005,24.0,11,10.0
FRA,FEMALE,2005,12.0,11,11.0
DEU,MALE,2009,24.8,11,13.4831460674157
DEU,FEMALE,2009,19.9,11,9.52380952380952
DEU,MALE,2005,25.0,11,13.0
DEU,FEMALE,2005,20.0,11,10.0
GRC,MALE,2009,20.5,11,26.3448275862069
GRC,FEMALE,2009,11.9,11,17.9302045728039
GRC,MALE,2005,25.0,11,21.0
GRC,FEMALE,2005,16.0,11,16.0
GRL,MALE,2009,30.2,11,20.7207207207207
GRL,FEMALE,2009,27.1,11,14.2857142857143
HUN,MALE,2009,30.0,11,19.4078947368421
HUN,FEMALE,2009,22.4,11,13.0434782608696
HUN,MALE,2005,28.0,11,21.0
HUN,FEMALE,2005,19.0,11,13.0
ISL,MALE,2009,24.9,11,12.858141160028
ISL,FEMALE,2009,16.5,11,9.81549815498155
IRL,MALE,2009,42.7,11,25.0
IRL,FEMALE,2009,31.3,11,20.5128205128205
IRL,MALE,2005,51.0,11,20.0
IRL,FEMALE,2005,38.0,11,13.0
ITA,MALE,2009,10.3,11,21.7455621301775
ITA,FEMALE,2009,6.6,11,14.453781512605
ITA,MALE,2005,23.0,11,26.0
ITA,FEMALE,2005,13.0,11,15.0
LVA,MALE,2009,26.2,11,13.237639553429
LVA,FEMALE,2009,17.5,11,8.39160839160839
LVA,MALE,2005,30.0,11,10.0
LVA,FEMALE,2005,23.0,11,6.0
LTU,MALE,2009,22.6,11,16.4623467600701
LTU,FEMALE,2009,16.8,11,9.98248686514886
LTU,MALE,2005,27.0,11,14.0
LTU,FEMALE,2005,20.0,11,6.0
LUX,MALE,2009,32.0,11,11.0204081632653
LUX,FEMALE,2009,17.8,11,10.5150214592275
LUX,MALE,2005,18.0,11,14.0
LUX,FEMALE,2005,13.0,11,11.0
