"INDICATOR","ENHIS_18"

"ENHIS_18","Prevalence of overweight (including obesity) among 15-year-olds in countries of the WHO European Region"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"ENHIS","Environment and Health"

"UNIT_TYPE","Unit"
"PERCENT","%"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"ENHIS","Environment and Health Information System (ENHIS)"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","SEX","YEAR","VALUE"
"ARM","MALE","2009","13.6094674556213"
"ARM","FEMALE","2009","5.02392344497608"
"AUT","FEMALE","2001","8.2"
"AUT","MALE","2001","13.3"
"AUT","FEMALE","2005","9"
"AUT","MALE","2005","19"
"AUT","MALE","2009","19.4376528117359"
"AUT","FEMALE","2009","10.5446118192352"
"BE-VLG","FEMALE","2001","9.1"
"BE-VLG","MALE","2001","12.7"
"BE-VLG","FEMALE","2005","8"
"BE-VLG","MALE","2005","11"
"BE-VLG","MALE","2009","13.7007874015748"
"BE-VLG","FEMALE","2009","9.43025540275049"
"BE-WAL","FEMALE","2001","9.5"
"BE-WAL","MALE","2001","11.6"
"BE-WAL","FEMALE","2005","12"
"BE-WAL","MALE","2005","15"
"BE-WAL","MALE","2009","15.1574803149606"
"BE-WAL","FEMALE","2009","8.31683168316832"
"BGR","FEMALE","2005","6"
"BGR","MALE","2005","18"
"HRV","FEMALE","2001","6.1"
"HRV","MALE","2001","16.2"
"HRV","FEMALE","2005","10"
"HRV","MALE","2005","19"
"HRV","MALE","2009","22.896790980052"
"HRV","FEMALE","2009","9.91525423728814"
"CZE","FEMALE","2001","5.5"
"CZE","MALE","2001","13.1"
"CZE","FEMALE","2005","9"
"CZE","MALE","2005","14"
"CZE","MALE","2009","19.0995907230559"
"CZE","FEMALE","2009","9.89159891598916"
"DNK","FEMALE","2001","9.5"
"DNK","MALE","2001","14.2"
"DNK","FEMALE","2005","9"
"DNK","MALE","2005","13"
"DNK","MALE","2009","10.0185528756957"
"DNK","FEMALE","2009","7.90774299835255"
"EST","FEMALE","2001","4.6"
"EST","MALE","2001","9.3"
"EST","FEMALE","2005","5"
"EST","MALE","2005","11"
"EST","MALE","2009","15.5322862129145"
"EST","FEMALE","2009","8.8"
"FIN","FEMALE","2001","9.3"
"FIN","MALE","2001","17.1"
"FIN","FEMALE","2005","12"
"FIN","MALE","2005","19"
"FIN","MALE","2009","17.2661870503597"
"FIN","FEMALE","2009","10.792741165234"
"FRA","FEMALE","2001","10"
"FRA","MALE","2001","12.1"
"FRA","FEMALE","2005","8"
"FRA","MALE","2005","14"
"FRA","MALE","2009","12.3501199040767"
"FRA","FEMALE","2009","6.90423162583519"
"DEU","FEMALE","2001","6.6"
"DEU","MALE","2001","15.8"
"DEU","FEMALE","2005","11"
"DEU","MALE","2005","16"
"DEU","MALE","2009","18.1818181818182"
"DEU","FEMALE","2009","10.4922279792746"
"GRC","FEMALE","2001","8.6"
"GRC","MALE","2001","23"
"GRC","FEMALE","2005","11"
"GRC","MALE","2005","25"
"GRC","MALE","2009","27.9901356350185"
"GRC","FEMALE","2009","12.5495376486129"
"GRL","MALE","2009","17.4311926605505"
"GRL","FEMALE","2009","14.1666666666667"
"HUN","FEMALE","2001","9.3"
"HUN","MALE","2001","15.4"
"HUN","FEMALE","2005","11"
"HUN","MALE","2005","17"
"HUN","MALE","2009","19.2135854862581"
"HUN","FEMALE","2009","10.6735845353228"
"ISL","MALE","2009","20.4599056603774"
"ISL","FEMALE","2009","12.9089827483641"
"IRL","FEMALE","2001","12.6"
"IRL","MALE","2001","11"
"IRL","FEMALE","2005","10"
"IRL","MALE","2005","15"
"IRL","MALE","2009","16.0164271047228"
"IRL","FEMALE","2009","11.71875"
"ISR","FEMALE","2001","7.4"
"ISR","MALE","2001","13.8"
"ITA","FEMALE","2001","7.7"
"ITA","MALE","2001","19.6"
"ITA","FEMALE","2005","10"
"ITA","MALE","2005","23"
"ITA","MALE","2009","22.1757322175732"
"ITA","FEMALE","2009","11.0181311018131"
"LVA","FEMALE","2001","4.2"
"LVA","MALE","2001","8.6"
"LVA","FEMALE","2005","6"
"LVA","MALE","2005","8"
"LVA","MALE","2009","12.8367670364501"
"LVA","FEMALE","2009","7.27802037845706"
"LTU","FEMALE","2001","3.3"
"LTU","MALE","2001","5"
"LTU","FEMALE","2005","4"
"LTU","MALE","2005","8"
"LTU","MALE","2009","13.2956152758133"
"LTU","FEMALE","2009","4.58970792767733"
"LUX","FEMALE","2005","9"
"LUX","MALE","2005","16"
"LUX","MALE","2009","21.6049382716049"
"LUX","FEMALE","2009","11.6013071895425"
"MKD","FEMALE","2001","5.8"
"MKD","MALE","2001","14.8"
"MKD","FEMALE","2005","7"
"MKD","MALE","2005","19"
"MKD","MALE","2009","20.8791208791209"
"MKD","FEMALE","2009","6.2992125984252"
"MLT","FEMALE","2001","16.7"
